fold,epoch,positive_count,negative_count,raw_pos_weight,pos_weight_dampening,pos_weight,train_loss,valid_loss,f1,threshold,precision,recall,learning_rate
1,11,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.00821702844781859,0.04002863036954545,0.9906890130353817,0.1,0.9906890130353817,0.9906890130353817,1.895640377202756e-05
1,12,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.008493787904939865,0.05169802366091936,0.9897483690587139,0.18,0.9906716417910447,0.9888268156424581,1.7044840264078773e-05
1,13,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.005020747427261264,0.06566019175064082,0.984037558685446,0.1,0.9924242424242424,0.9757914338919925,1.51e-05
1,14,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0038384690965532417,0.06970245109607598,0.9841565703634669,0.27,0.9850746268656716,0.9832402234636871,1.315515973592123e-05
1,15,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0060129781578649325,0.07863940000167406,0.9832402234636871,0.11,0.9832402234636871,0.9832402234636871,1.124359622797244e-05
1,16,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0064254294391062955,0.074472240500244,0.9842154131847726,0.23,0.9814814814814815,0.9869646182495344,9.398016857760165e-06
1,17,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.004267929135839584,0.056660604041113116,0.9869402985074627,0.11,0.9887850467289719,0.9851024208566108,7.650000000000003e-06
1,18,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.006274480267167711,0.045672781468922896,0.9925650557620818,0.13,0.9907235621521335,0.994413407821229,6.029454707770062e-06
1,19,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.006267042864956323,0.05792261984836788,0.9859154929577465,0.1,0.9943181818181818,0.9776536312849162,4.564108960320443e-06
1,20,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0028767385759246125,0.052604088296974105,0.9878163074039362,0.21,0.9943396226415094,0.9813780260707635,3.2790352296605985e-06
1,21,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.00016810398619625946,0.05120240368681455,0.9887850467289719,0.1,0.9924953095684803,0.9851024208566108,2.196221483611864e-06
1,22,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0037786622435108017,0.05052176359367877,0.9887640449438202,0.26,0.9943502824858758,0.9832402234636871,1.334194965581828e-06
1,23,2148,1930,0.8985102420856611,0.5,0.44925512104283055,0.0014702630888642721,0.05305529163404072,0.9878163074039362,0.19,0.9943396226415094,0.9813780260707635,7.07705188292884e-07
