fold,epoch,positive_count,negative_count,class_ratio,loss_pos_weight,label_smoothing,ema_enabled,ema_decay,train_loss,valid_loss,f1,threshold,precision,recall,head_learning_rate,backbone_learning_rate
0,11,681,496,0.7283406754772394,,0.05,True,0.999,0.11684972083254598,0.2913680222074864,0.9529411764705882,0.41,0.9585798816568047,0.9473684210526315,0.00014167245359452226,1.4296294895972808e-05
0,12,681,496,0.7283406754772394,,0.05,True,0.999,0.1168451826756752,0.2730361287876711,0.9554896142433235,0.52,0.9698795180722891,0.9415204678362573,9.428989851550252e-05,9.57510393371754e-06
0,13,681,496,0.7283406754772394,,0.05,True,0.999,0.11684168699239408,0.2573412701234979,0.9583333333333334,0.52,0.9757575757575757,0.9415204678362573,5.4720312531239445e-05,5.632396086546068e-06
0,14,681,496,0.7283406754772394,,0.05,True,0.999,0.11684014884313487,0.24361940319255246,0.9583333333333334,0.51,0.9757575757575757,0.9415204678362573,2.494787991118549e-05,2.665875189229767e-06
0,15,681,496,0.7283406754772394,,0.05,True,0.999,0.11683922461665275,0.2324402247445058,0.9611940298507463,0.57,0.9817073170731707,0.9415204678362573,6.465514745762251e-06,8.242949866725893e-07
1,1,681,496,0.7283406754772394,,0.05,True,0.999,0.7272374781897843,0.8097200106766265,0.4297520661157025,0.4,0.7323943661971831,0.30409356725146197,5e-06,5.000000000000001e-07
1,2,681,496,0.7283406754772394,,0.05,True,0.999,0.37378906016139124,0.6939725077758401,0.6887417218543046,0.4,0.7938931297709924,0.6081871345029239,0.0005,5e-05
1,3,681,496,0.7283406754772394,,0.05,True,0.999,0.22047009696976655,0.5833240846456107,0.8418079096045198,0.4,0.8142076502732241,0.8713450292397661,0.0004937344852542377,4.937570501332741e-05
1,4,681,496,0.7283406754772394,,0.05,True,0.999,0.16504689681398332,0.5080252710035291,0.8913043478260869,0.41,0.8324873096446701,0.9590643274853801,0.00047525212008881455,4.753412481077024e-05
1,5,681,496,0.7283406754772394,,0.05,True,0.999,0.13516662965513632,0.45537923877522096,0.9166666666666666,0.44,0.873015873015873,0.9649122807017544,0.0004454796874687607,4.4567603913453956e-05
1,6,681,496,0.7283406754772394,,0.05,True,0.999,0.12300107804718115,0.41414291191909275,0.9277777777777778,0.45,0.8835978835978836,0.9766081871345029,0.00040591010148449756,4.0624896066282477e-05
1,7,681,496,0.7283406754772394,,0.05,True,0.999,0.11914396349312191,0.38020572743173375,0.9310344827586207,0.51,0.9152542372881356,0.9473684210526315,0.0003585275464054778,3.5903705104027206e-05
1,8,681,496,0.7283406754772394,,0.05,True,0.999,0.11834005372141414,0.3522928674342269,0.9367816091954023,0.51,0.9209039548022598,0.9532163742690059,0.000305707981395683,3.064077125551224e-05
1,9,681,496,0.7283406754772394,,0.05,True,0.999,0.11791527937202,0.32882450233071536,0.9394812680115274,0.53,0.9261363636363636,0.9532163742690059,0.0002501,2.5100000000000007e-05
1,10,681,496,0.7283406754772394,,0.05,True,0.999,0.11797073002376086,0.310772569704864,0.9425287356321839,0.51,0.9265536723163842,0.9590643274853801,0.00019449201860431706,1.9559228744487778e-05
1,11,681,496,0.7283406754772394,,0.05,True,0.999,0.11787526705757277,0.2951112840135219,0.9452449567723343,0.53,0.9318181818181818,0.9590643274853801,0.00014167245359452226,1.4296294895972808e-05
1,12,681,496,0.7283406754772394,,0.05,True,0.999,0.1178572037610951,0.2824031906612849,0.9479768786127167,0.53,0.9371428571428572,0.9590643274853801,9.428989851550252e-05,9.57510393371754e-06
1,13,681,496,0.7283406754772394,,0.05,True,0.999,0.11788514129874457,0.27162710246393235,0.9479768786127167,0.52,0.9371428571428572,0.9590643274853801,5.4720312531239445e-05,5.632396086546068e-06
1,14,681,496,0.7283406754772394,,0.05,True,0.999,0.11786470376746373,0.26273043438539667,0.9485714285714286,0.46,0.9273743016759777,0.9707602339181286,2.494787991118549e-05,2.665875189229767e-06
1,15,681,496,0.7283406754772394,,0.05,True,0.999,0.11784191473926035,0.2559970625376297,0.9512893982808023,0.46,0.9325842696629213,0.9707602339181286,6.465514745762251e-06,8.242949866725893e-07
2,1,682,496,0.7272727272727273,,0.05,True,0.999,0.7332722352397057,0.8647451043939914,0.34509803921568627,0.4,0.5176470588235295,0.25882352941176473,5e-06,5.000000000000001e-07
2,2,682,496,0.7272727272727273,,0.05,True,0.999,0.40356896729137376,0.7111990747808599,0.6481481481481481,0.4,0.6818181818181818,0.6176470588235294,0.0005,5e-05
