fold,epoch,positive_count,negative_count,pos_weight,train_loss,valid_loss,f1,threshold,precision,recall,learning_rate
1,9,2148,1930,0.8985102420856611,0.01851934303404617,0.10735830368702962,0.9811320754716981,0.23,0.994263862332696,0.9683426443202979,2.2550000000000006e-05
1,10,2148,1930,0.8985102420856611,0.01742996903274887,0.05772103930126725,0.9897483690587139,0.34,0.9906716417910447,0.9888268156424581,2.0801983142239843e-05
1,11,2148,1930,0.8985102420856611,0.01235789732330094,0.07980793579963753,0.9868913857677902,0.11,0.992467043314501,0.9813780260707635,1.895640377202756e-05
1,12,2148,1930,0.8985102420856611,0.013965316139424994,0.08031438079733383,0.9868421052631579,0.5,0.9962049335863378,0.9776536312849162,1.7044840264078773e-05
1,13,2148,1930,0.8985102420856611,0.006967331658528638,0.09897567453153183,0.9868421052631579,0.1,0.9962049335863378,0.9776536312849162,1.51e-05
1,14,2148,1930,0.8985102420856611,0.005116644344324244,0.08470750704653292,0.9868667917448405,0.15,0.994328922495274,0.9795158286778398,1.315515973592123e-05
2,1,2148,1930,0.8985102420856611,0.1644096056418699,0.04675640457985448,0.989786443825441,0.15,0.987037037037037,0.9925512104283054,3e-05
2,2,2148,1930,0.8985102420856611,0.06109617462932623,0.051366560922606906,0.9888475836431226,0.87,0.987012987012987,0.9906890130353817,2.9872528434469777e-05
2,3,2148,1930,0.8985102420856611,0.05122064902992015,0.04585530410792368,0.9897483690587139,0.11,0.9906716417910447,0.9888268156424581,2.949229481170712e-05
2,4,2148,1930,0.8985102420856611,0.02623890060102863,0.03341983063668629,0.9944237918215614,0.23,0.9925788497217068,0.9962756052141527,2.8865805034418175e-05
2,5,2148,1930,0.8985102420856611,0.03548956551519481,0.16121070329348133,0.9763636363636363,0.89,0.9538188277087034,1.0,2.8003778516388142e-05
2,6,2148,1930,0.8985102420856611,0.02475571390241545,0.04330411393391699,0.9925650557620818,0.1,0.9907235621521335,0.994413407821229,2.6920964770339406e-05
2,7,2148,1930,0.8985102420856611,0.023037074711970276,0.05851206225816699,0.988909426987061,0.4,0.981651376146789,0.9962756052141527,2.563589103967956e-05
2,8,2148,1930,0.8985102420856611,0.023500335707265396,0.052161934172709506,0.9879294336118849,0.11,0.9851851851851852,0.9906890130353817,2.4170545292229943e-05
2,9,2148,1930,0.8985102420856611,0.02081921082807416,0.10115279013336798,0.9871086556169429,0.88,0.97632058287796,0.9981378026070763,2.2550000000000006e-05
2,10,2148,1930,0.8985102420856611,0.019731574667591064,0.06200844202259545,0.9897483690587139,0.14,0.9906716417910447,0.9888268156424581,2.0801983142239843e-05
2,11,2148,1930,0.8985102420856611,0.01903721337650679,0.07473511814932149,0.9861495844875346,0.14,0.978021978021978,0.994413407821229,1.895640377202756e-05
3,1,2148,1931,0.898975791433892,0.14992510212739904,0.10787922167384877,0.9789184234647113,0.86,0.9638989169675091,0.994413407821229,3e-05
3,2,2148,1931,0.898975791433892,0.07253020252219851,0.04876196283443353,0.9879518072289156,0.75,0.9833948339483395,0.9925512104283054,2.9872528434469777e-05
3,3,2148,1931,0.898975791433892,0.04411750715906226,0.039436243065062715,0.988909426987061,0.36,0.981651376146789,0.9962756052141527,2.949229481170712e-05
3,4,2148,1931,0.898975791433892,0.038482196178822765,0.06015296224939696,0.9916743755781684,0.87,0.9852941176470589,0.9981378026070763,2.8865805034418175e-05
