fold,epoch,positive_count,negative_count,class_ratio,loss_pos_weight,real_count,pseudo_count,pseudo_weight,weighted_positive_count,weighted_negative_count,label_smoothing,ema_enabled,ema_decay,train_loss,valid_loss,f1,threshold,precision,recall,head_learning_rate,backbone_learning_rate
1,3,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.1977732284150795,0.6003341927366742,0.8126984126984127,0.41,0.8888888888888888,0.7485380116959064,0.00047525212008881455,4.7534124810770235e-05
1,4,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.13703627805045537,0.5298373773946601,0.8895348837209303,0.4,0.884393063583815,0.8947368421052632,0.00040591010148449756,4.062489606628246e-05
1,5,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.11902063785027102,0.4704046158467309,0.9161676646706587,0.45,0.9386503067484663,0.8947368421052632,0.000305707981395683,3.0640771255512226e-05
1,6,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.11115545416991264,0.42209409030817324,0.9329446064139941,0.41,0.9302325581395349,0.935672514619883,0.00019449201860431708,1.955922874448777e-05
1,7,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.11030681975821698,0.38197886075003673,0.9394812680115274,0.4,0.9261363636363636,0.9532163742690059,9.428989851550252e-05,9.575103933717534e-06
1,8,771,600,0.7782101167315175,,1177,194,0.4,717.0,537.6,0.05,True,0.999,0.11093406049897425,0.3460120837567216,0.9449275362318841,0.45,0.9367816091954023,0.9532163742690059,2.4947879911185486e-05,2.665875189229765e-06
2,1,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.6604149041822284,0.8630725242653672,0.35019455252918286,0.4,0.5172413793103449,0.2647058823529412,5e-06,5.000000000000001e-07
2,2,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.3987594874190172,0.7150212096519211,0.6666666666666666,0.4,0.7012987012987013,0.6352941176470588,0.0005,5e-05
2,3,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.20211928220514652,0.5849623672005271,0.8165680473372781,0.42,0.8214285714285714,0.8117647058823529,0.00047525212008881455,4.7534124810770235e-05
2,4,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.14606083784002605,0.49040723414648146,0.8791208791208791,0.4,0.8247422680412371,0.9411764705882353,0.00040591010148449756,4.062489606628246e-05
2,5,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.122775146764847,0.424490715776171,0.9096209912536443,0.48,0.9017341040462428,0.9176470588235294,0.000305707981395683,3.0640771255512226e-05
2,6,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.11284129452992112,0.37640559105646043,0.9294117647058824,0.49,0.9294117647058824,0.9294117647058824,0.00019449201860431708,1.955922874448777e-05
2,7,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.11007913690788058,0.34023569473603954,0.9384164222873901,0.49,0.935672514619883,0.9411764705882353,9.428989851550252e-05,9.575103933717534e-06
2,8,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.10890788050591077,0.3121682393307589,0.9418604651162791,0.46,0.9310344827586207,0.9529411764705882,2.4947879911185486e-05,2.665875189229765e-06
3,1,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.601411405353435,0.7133381565411886,0.6782178217821783,0.4,0.5854700854700855,0.8058823529411765,5e-06,5.000000000000001e-07
3,2,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.3076387005627329,0.6367701924577052,0.743801652892562,0.4,0.6994818652849741,0.7941176470588235,0.0005,5e-05
3,3,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.2047224241382179,0.5555953882178482,0.8502994011976048,0.4,0.8658536585365854,0.8352941176470589,0.00047525212008881455,4.7534124810770235e-05
3,4,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.14055812678166799,0.4876073866474385,0.9047619047619048,0.4,0.9156626506024096,0.8941176470588236,0.00040591010148449756,4.062489606628246e-05
3,5,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.11451276478631851,0.43020523851420606,0.913946587537092,0.4,0.9221556886227545,0.9058823529411765,0.000305707981395683,3.0640771255512226e-05
3,6,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.11179949575627858,0.37996578622026506,0.9321533923303835,0.4,0.9349112426035503,0.9294117647058824,0.00019449201860431708,1.955922874448777e-05
3,7,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.10966276290552261,0.3385670736533444,0.9442815249266863,0.41,0.9415204678362573,0.9470588235294117,9.428989851550252e-05,9.575103933717534e-06
3,8,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.10911508234701073,0.30376167889354994,0.9529411764705882,0.44,0.9529411764705882,0.9529411764705882,2.4947879911185486e-05,2.665875189229765e-06
4,1,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.6849984301596271,0.8841045235290008,0.21524663677130046,0.4,0.4528301886792453,0.1411764705882353,5e-06,5.000000000000001e-07
4,2,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.35290403068934517,0.7373200363042404,0.5474452554744526,0.4,0.7211538461538461,0.4411764705882353,0.0005,5e-05
4,3,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.18981512307946954,0.6168617172306087,0.75,0.4,0.8507462686567164,0.6705882352941176,0.00047525212008881455,4.7534124810770235e-05
4,4,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.13910741172187877,0.5595831068194642,0.7676767676767676,0.4,0.8976377952755905,0.6705882352941176,0.00040591010148449756,4.062489606628246e-05
4,5,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.12126169799020617,0.49943007498371356,0.8517350157728707,0.4,0.9183673469387755,0.7941176470588235,0.000305707981395683,3.0640771255512226e-05
4,6,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.11128147474270172,0.4448875817311864,0.9041916167664671,0.4,0.9207317073170732,0.888235294117647,0.00019449201860431708,1.955922874448777e-05
4,7,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.11074898144333425,0.3993175431173675,0.9101796407185628,0.41,0.926829268292683,0.8941176470588236,9.428989851550252e-05,9.575103933717534e-06
4,8,772,600,0.7772020725388601,,1178,194,0.4,718.0,537.6,0.05,True,0.999,0.10898579711382313,0.363937809353783,0.9258160237388724,0.42,0.9341317365269461,0.9176470588235294,2.4947879911185486e-05,2.665875189229765e-06
